dataset,budget,metric,mean_ga,std_ga,mean_das,std_das,mean_ssas,std_ssas,wilcoxon_stat_ga_vs_das,p_ga_vs_das,wilcoxon_stat_ga_vs_ssas,p_ga_vs_ssas
diabetes,5,precision,0.7536791689085519,0.00986904641256217,0.7456790044734892,0.009291038030726069,0.7453610423405054,0.009416246755163563,6.0,2.60770320892334e-08,0.0,1.862645149230957e-09
diabetes,5,info_loss,0.40855081830262957,0.0106462259200654,0.26513429573930625,0.0037706046533421377,0.2611981445695037,0.0036466396682258693,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,6,accuracy,0.7475108225108226,0.008313820598905277,0.7329437229437229,0.007708869723486395,0.7334415584415583,0.007880640966289935,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,6,f1,0.7303252415729318,0.01034082415178738,0.7088093467308859,0.009272833109695396,0.7099485559848848,0.009424407622522791,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,6,precision,0.7563294079811781,0.009446424619738497,0.7479753813043012,0.009579913443865716,0.7475343531937486,0.00974887373959928,1.0,3.725290298461914e-09,4.0,1.30385160446167e-08
diabetes,6,info_loss,0.4002980361814554,0.015251102949398786,0.23369404270186897,0.003781861044281201,0.23007637597867078,0.0031215248127389513,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,7,accuracy,0.751897546897547,0.007684985267465584,0.7356060606060605,0.007659758984320698,0.736991341991342,0.00759086310975723,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,7,f1,0.7364178808976376,0.00961618298168705,0.7125071187884674,0.009103174430258118,0.7147909423560255,0.008996385375753365,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,7,precision,0.7594519420086249,0.00923247952896412,0.750027660339383,0.009543328797944624,0.7503773093189027,0.009297793505979401,3.0,9.313225746154785e-09,7.0,3.5390257835388184e-08
diabetes,7,info_loss,0.3940576957118612,0.01530283272240522,0.20648051682775614,0.00299649657514162,0.20344064642538703,0.002595710872260874,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,8,accuracy,0.7562770562770563,0.007018017898709112,0.7396825396825398,0.00762063256941466,0.7408946608946609,0.008041726769250137,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,8,f1,0.7414735944663154,0.009053537713178938,0.7180495462396481,0.009038582297097288,0.7202425840472644,0.009625090953918487,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,8,precision,0.7642110340058934,0.008884291240152341,0.7532412236793038,0.009196213491147303,0.7531111806567556,0.009213594810029393,1.0,3.725290298461914e-09,0.0,1.862645149230957e-09
diabetes,8,info_loss,0.38698000100006114,0.018305297576187287,0.18258225409364084,0.0024635422790570895,0.18089117462363424,0.002477770845906342,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,9,accuracy,0.7603823953823954,0.006773078175700842,0.743968253968254,0.008209853959342804,0.74484126984127,0.008762729482068006,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,9,f1,0.7465220121480908,0.008371608363691854,0.7238977090346633,0.009835582115619397,0.7257006423054426,0.010325213211349764,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,9,precision,0.7681581657820374,0.009843550920107125,0.756408402230996,0.009305533512275492,0.7559145807097054,0.009985522619767024,1.0,3.725290298461914e-09,0.0,1.862645149230957e-09
diabetes,9,info_loss,0.3763060969003502,0.020969920565052303,0.16262927928086016,0.0023621102779988585,0.16242735945166029,0.0025073701554631776,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,10,accuracy,0.7648340548340546,0.0068917634105980915,0.7479509379509378,0.00853844816975083,0.7484487734487735,0.008757737912440342,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,10,f1,0.7508163671970185,0.0077319831794135105,0.7293592777510124,0.010024958307654298,0.73076136595799,0.01024492442510299,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,10,precision,0.7743082850196944,0.010900225240040712,0.7592486013406781,0.00971042021908106,0.7582814743457262,0.00985082865627339,4.0,1.30385160446167e-08,0.0,1.862645149230957e-09
diabetes,10,info_loss,0.3612802189389502,0.02171786074421371,0.14621633979674648,0.00244099370279427,0.14697692331598766,0.002599825444297839,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,1,accuracy,0.8482683982683984,0.014782139462306386,0.8355339105339106,0.015028575998047598,0.8319624819624819,0.015693096807157865,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,1,f1,0.8480412570599255,0.014821378442503242,0.835304495703715,0.015101533356895683,0.8317335566023728,0.01571831574888685,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,1,precision,0.8494598844311113,0.014790713495414862,0.8366076507793468,0.014853476127921077,0.8330200017024401,0.015596251202039257,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,1,info_loss,0.5033328720687618,0.006781414111298835,0.5016995097930548,0.007181120454398577,0.5010500625875606,0.007282362838771229,129.0,0.03272089920938015,98.0,0.00466480478644371
heart,2,accuracy,0.8521284271284271,0.01570192623060477,0.8362914862914864,0.01656924482609191,0.8380952380952381,0.015833447993832555,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,2,f1,0.8519073872863943,0.015738587173185655,0.8360798601091648,0.01661489898333723,0.8378893451662831,0.01587524816933457,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,2,precision,0.8533247542731728,0.015745070035078624,0.8373181868899723,0.016383529020642447,0.8390937259013228,0.015726152109961682,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,2,info_loss,0.4445302400677561,0.008396808860882817,0.44560121219507115,0.007925966461626981,0.4464314591281019,0.008022177743784926,191.0,0.40449450351297855,167.0,0.18396909348666668
heart,3,accuracy,0.8573953823953825,0.016535633343546054,0.8393217893217895,0.015739799105446168,0.8373015873015873,0.016520633569491034,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,3,f1,0.8571852069554152,0.01656181404024683,0.8391130191154315,0.015776736431405335,0.8371036797315046,0.016556013124704404,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,3,precision,0.8586836698189306,0.016809260645630795,0.8403937175218885,0.015642932722151982,0.8383153118147142,0.016396740915498902,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,3,info_loss,0.3981292339614517,0.01694713125983896,0.3940952064840154,0.007676320648560227,0.39746616154496617,0.008393368617965595,187.0,0.3598779272288084,227.0,0.9192965272814035
heart,4,accuracy,0.8604256854256854,0.015997519388693444,0.8399350649350649,0.016459114135038682,0.8395382395382395,0.015512936661208504,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,4,f1,0.8602020095846797,0.016030769005087993,0.839726018978609,0.016488987437569876,0.8393465586199677,0.015540001985885833,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,4,precision,0.8618812456673475,0.01634047797675784,0.840966394729527,0.0163943189990051,0.8405121870275194,0.015415908826758407,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,4,info_loss,0.3578643195040986,0.027359872146538195,0.34762287245225587,0.006830356032195835,0.3543260988864817,0.007026654567303013,158.0,0.12935307621955872,232.0,1.0
heart,5,accuracy,0.8633838383838384,0.015833653476520812,0.8429653679653679,0.017190085910661925,0.8408369408369407,0.015851520273892934,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,5,f1,0.8631468792205299,0.01587838944344559,0.8427681139898859,0.017249172345891406,0.8406549977700544,0.015898646559614458,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,5,precision,0.8649163542716497,0.01605189240130329,0.8439756096729737,0.017000710914800925,0.8417900580630524,0.015578768328382292,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,5,info_loss,0.32287441302607695,0.033568558990389526,0.30540267759767786,0.007025174054046259,0.31655965657934926,0.007010157303382132,116.0,0.015460003167390823,226.0,0.9032264724373817
heart,6,accuracy,0.8658369408369407,0.01604138857697994,0.8432178932178932,0.015672683068024537,0.8433982683982683,0.015930672211115424,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,6,f1,0.865602658448428,0.016117381193151363,0.8430150495083467,0.01572589597759382,0.8432112639968198,0.015955683389775384,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,6,precision,0.8673065634500671,0.016066582267694356,0.8442483074533483,0.015471865510316136,0.844417904347743,0.015781269620954053,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,6,info_loss,0.2862722373936379,0.027266723889177655,0.2682933403418991,0.006964219834671124,0.2813208297904507,0.0064730151122265635,79.0,0.001038169488310814,195.0,0.4521643426269293
heart,7,accuracy,0.8682539682539683,0.01621676197778013,0.8468614718614718,0.017127285879282663,0.8449134199134202,0.018247300997086647,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,7,f1,0.8680220754441677,0.01627192971775449,0.8466507315804592,0.017179769159770816,0.8447153185444574,0.018287838551516476,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,7,precision,0.8697313305614266,0.01628190768824492,0.8479857910717341,0.016976123303169395,0.8460184533592385,0.018153562377247846,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,7,info_loss,0.26488954721459274,0.030163351266196143,0.234013117937098,0.006429081929243664,0.2517447765885907,0.007360382094783447,40.0,1.597777009010315e-05,146.0,0.07672121562063694
heart,8,accuracy,0.8692279942279942,0.01660725560349231,0.8501803751803754,0.015250868168184785,0.8480519480519481,0.01742301000364895,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,8,f1,0.8689917683260451,0.016650434921422482,0.8499535506455002,0.015302112870523086,0.8478586441142079,0.017457476080496994,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,8,precision,0.8707268124957365,0.016720756012648875,0.8514095543037015,0.015186917775268417,0.8491327122997415,0.017434908416421643,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,8,info_loss,0.23441599461177745,0.03646329684737188,0.20349273316759314,0.005896923643585452,0.2247805470810356,0.007450956243678575,40.0,1.597777009010315e-05,187.0,0.3598779272288084
heart,9,accuracy,0.8693001443001444,0.01635520554910133,0.8527056277056276,0.01635440981475023,0.8495670995670997,0.016479619806915053,0.0,2.520233910357444e-06,0.0,1.862645149230957e-09
heart,9,f1,0.8690496715973112,0.016415924269734875,0.852462468722677,0.01644358246656106,0.8493760735351094,0.01653045059497827,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,9,precision,0.8708663646826728,0.01632097216084799,0.8540376665113726,0.016109486259195747,0.850645317908557,0.01641085237071718,1.0,3.725290298461914e-09,0.0,1.862645149230957e-09
heart,9,info_loss,0.21370779335822515,0.03354580861169951,0.17721330168193286,0.006187603569205834,0.200413277853597,0.006262840135743179,36.0,9.220093488693237e-06,134.0,0.0426517054438591
heart,10,accuracy,0.8703463203463203,0.016306714406651733,0.8529220779220779,0.015664252573311548,0.8527777777777777,0.016234928609980867,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,10,f1,0.8701178052709131,0.016352848230366365,0.8526652462630118,0.015727931182316534,0.8525858456848353,0.016269010112095292,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,10,precision,0.8717905129290914,0.016381840107408167,0.8543686575843377,0.01565179093881831,0.8538682942574884,0.016272023050801873,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
heart,10,info_loss,0.1968816784919745,0.040935972945389844,0.15489470096059554,0.0060981985402075,0.17876616810994406,0.006129608260626398,23.0,1.1920928955078125e-06,164.0,0.1641840822994709
